date,val,tweet,person,country
2017-06-30,-0.5,The era of strategic patience with the North Korea regime has failed. That patience is over. We are working closely... https://t.co/MxN04V2Yn4,Trump,North Korea
2017-07-01,0.578787879,Happy Canada Day to all of the great people of Canada and to your Prime Minister and my new found friend @JustinTrudeau. #Canada150,Trump,Canada
2017-07-03,0,Will be speaking with Germany and France this morning.,Trump,France
2017-07-03,0,Will be speaking with Germany and France this morning.,Trump,Germany
2017-07-04,0.104166667,North Korea has just launched another missile. Does this guy have anything better to do with his life? Hard to believe that South Korea.....,Trump,North Korea
2017-07-04,-0.025,....and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,Trump,China
2017-07-04,-0.025,....and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,Trump,Japan
2017-07-04,-0.025,....and Japan will put up with this much longer. Perhaps China will put a heavy move on North Korea and end this nonsense once and for all!,Trump,North Korea
2017-07-05,0.25,Trade between China and North Korea grew almost 40% in the first quarter. So much for China working with us - but we had to give it a try!,Trump,China
2017-07-05,0.25,Trade between China and North Korea grew almost 40% in the first quarter. So much for China working with us - but we had to give it a try!,Trump,North Korea
2017-07-05,0.1,"Getting ready to leave for Poland, after which I will travel to Germany for the G-20. Will be back on Saturday.",Trump,Germany
2017-07-07,0.8,"After Poland had a great meeting with Chancellor Merkel and then with PM Shinzō Abe of Japan &, President Moon of South Korea.",Trump,Japan
2017-07-07,0.55625,"Great first day with world leaders at the #G20Summit here in Hamburg, Germany. Looking forward to day two! #USA https://t.co/bLKgZKQemw",Trump,Germany
2017-07-08,0.5,"Leaving Hamburg for Washington, D.C. and the WH. Just left China's President Xi where we had an excellent meeting on trade &, North Korea.",Trump,China
2017-07-08,0.5,"Leaving Hamburg for Washington, D.C. and the WH. Just left China's President Xi where we had an excellent meeting on trade &, North Korea.",Trump,North Korea
2017-07-09,0.6875,Syrian ceasefire seems to be holding. Many lives can be saved. Came out of meeting. Good!,Trump,Syria
2017-07-09,0.216666667,I strongly pressed President Putin twice about Russian meddling in our election. He vehemently denied it. I've already given my opinion.....,Trump,Russia
2017-07-09,0,...We negotiated a ceasefire in parts of Syria which will save lives. Now it is time to move forward in working constructively with Russia!,Trump,Russia
2017-07-09,0,...We negotiated a ceasefire in parts of Syria which will save lives. Now it is time to move forward in working constructively with Russia!,Trump,Syria
2017-07-09,0,"Sanctions were not discussed at my meeting with President Putin. Nothing will be done until the Ukrainian &, Syrian problems are solved!",Trump,Syria
2017-07-10,-0.03125,"When I left Conference Room for short meetings with Japan and other countries, I asked Ivanka to hold seat. Very standard. Angela M agrees!",Trump,Japan
2017-07-12,0,"Getting rdy to leave for France @ the invitation of President Macron to celebrate &, honor Bastille Day and 100yrs since U.S. entry into WWI.",Trump,France
2017-07-12,-0.327777778,"ISIS is on the run &, will soon be wiped out of Syria &, Iraq, illegal border crossings are way down (75%) &, MS 13 gangs are being removed.",Trump,Iraq
2017-07-12,-0.327777778,"ISIS is on the run &, will soon be wiped out of Syria &, Iraq, illegal border crossings are way down (75%) &, MS 13 gangs are being removed.",Trump,Syria
2017-07-13,0.25,"Melania and I were thrilled to join the dedicated men and women of the @USEmbassyFrance, members of the U.S. Military and their families. https://t.co/ZSdsJ0Bsbl",Trump,France
2017-07-13,0,"Just landed in Paris, France with @FLOTUS Melania. https://t.co/knULGOQF1K",Trump,France
2017-07-14,0.8,"Great evening with President @EmmanuelMacron &, Mrs. Macron. Went to Eiffel Tower for dinner. Relationship with France stronger than ever. https://t.co/ib1pdUYoEU",Trump,France
2017-07-14,0.6,"The United States mourns for the victims of Nice, France. We pledge our solidarity with France against terror. 🇺🇸🇫🇷 https://t.co/7irbz08oT3",Trump,France
2017-07-14,0.575,"Just landed from Paris, France. It was an incredible visit with President @EmmanuelMacron. A lot discussed and accomplished in two days!",Trump,France
2017-07-14,0,"President @EmmanuelMacron,Thank you for inviting Melania and myself to such a historic celebration in France. #BastilleDay #14juillet https://t.co/KZjJQOo0H1",Trump,France
2017-07-15,0.29,"Stock Market hit another all-time high yesterday - despite the Russian hoax story! Also, jobs numbers are starting to look very good!",Trump,Russia
2017-07-16,0.2,Thank you to former campaign adviser Michael Caputo for saying so powerfully that there was no Russian collusion in our winning campaign.,Trump,Russia
2017-07-19,0.064285714,The Fake News is becoming more and more dishonest! Even a dinner arranged for top 20 leaders in Germany is made to look sinister!,Trump,Germany
2017-07-19,-0.597619048,"""Fake News story of secret dinner with Putin is """"sick."""" All G 20 leaders, and spouses, were invited by the Chancellor of Germany. Press knew!""",Trump,Germany
2017-07-22,0,"...What about all of the Clinton ties to Russia, including Podesta Company, Uranium deal, Russian Reset, big dollar speeches etc.",Trump,Russia
2017-07-23,-0.03125,"As the phony Russian Witch Hunt continues, two groups are laughing at this excuse for a lost election taking hold, Democrats and Russians!",Trump,Russia
2017-07-24,0,"""After 1 year of investigation with Zero evidence being found, Chuck Schumer just stated that """"Democrats should blame ourselves,not Russia.""""""",Trump,Russia
2017-07-24,0,"So why aren't the Committees and investigators, and of course our beleaguered A.G., looking into Crooked Hillarys crimes &, Russia relations?",Trump,Russia
2017-07-24,-0.03125,"""Sleazy Adam Schiff, the totally biased Congressman looking into """"Russia,"""" spends all of his time on television pushing the Dem loss excuse!""",Trump,Russia
2017-07-25,0.108333333,"Jared Kushner did very well yesterday in proving he did not collude with the Russians. Witch Hunt. Next up, 11 year old Barron Trump!",Trump,Russia
2017-07-25,-0.2,"The Amazon Washington Post fabricated the facts on my ending massive, dangerous, and wasteful payments to Syrian rebels fighting Assad.....",Trump,Syria
2017-07-27,-0.3,"""""""One of the things that has been lost in the politics of this situation is that the Russians collected and spread negative information.....""",Trump,Russia
2017-07-29,0.541666667,"...they do NOTHING for us with North Korea, just talk. We will no longer allow this to continue. China could easily solve this problem!",Trump,China
2017-07-29,0.541666667,"...they do NOTHING for us with North Korea, just talk. We will no longer allow this to continue. China could easily solve this problem!",Trump,North Korea
2017-07-29,0.052083333,"In other words, Russia was against Trump in the 2016 Election - and why not, I want strong military &, low oil prices. Witch Hunt! https://t.co/mMSxj4Su5z",Trump,Russia
2017-07-29,-0.6125,"I am very disappointed in China. Our foolish past leaders have allowed them to make hundreds of billions of dollars a year in trade, yet...",Trump,China
2017-08-03,-0.26,"Our relationship with Russia is at an all-time &, very dangerous  low. You can thank Congress, the same people that can't even give us HCare!",Trump,Russia
2017-08-05,0.064285714,United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.,Trump,North Korea
2017-08-05,0,The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,Trump,China
2017-08-05,0,The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,Trump,North Korea
2017-08-05,0,The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!,Trump,Russia
2017-08-07,1,Just completed call with President Moon of South Korea. Very happy and impressed with 15-0 United Nations vote on North Korea sanctions.,Trump,North Korea
2017-08-07,0.25,Interesting to watch Senator Richard Blumenthal of Connecticut talking about hoax Russian collusion when he was a  phony Vietnam con artist!,Trump,Russia
2017-08-07,-0.2,"...and West Virginia. The fact is the Fake News Russian collusion story, record Stock Market, border security, military strength, jobs.....",Trump,Russia
2017-08-08,0.00462963,"After many years of failure,countries are coming together to  finally address the dangers posed by North Korea. We must be tough &, decisive!",Trump,North Korea
2017-08-11,-0.125,"Military solutions are now fully in place,locked and loaded,should North Korea act unwisely.  Hopefully Kim Jong Un will find another path!",Trump,North Korea
2017-08-15,-0.4375,"@foxandfriends According to report just out, President Obama knew about Russian interference 3 years ago but he didn't want to anger Russia!",Trump,Russia
2017-08-16,1,Kim Jong Un of North Korea made a very wise and well reasoned decision. The alternative would have been both catastrophic and unacceptable!,Trump,North Korea
2017-08-27,0,"With Mexico being one of the highest crime Nations in the world, we must have THE WALL. Mexico will pay for it through reimbursement/other.",Trump,Mexico
2017-08-27,-0.4,"We are in the NAFTA (worst trade deal ever made) renegotiation process with Mexico &, Canada.Both being very difficult,may have to terminate?",Trump,Canada
2017-08-27,-0.4,"We are in the NAFTA (worst trade deal ever made) renegotiation process with Mexico &, Canada.Both being very difficult,may have to terminate?",Trump,Mexico
